scenario,time,uav_id,from_state,to_state,reason
补充场景-通信受限,17,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,18,UAV-03,Isolated,Search,通信恢复
补充场景-通信受限,18,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,18,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,20,UAV-02,Search,Track,进入目标识别阶段
补充场景-通信受限,20,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,22,UAV-01,Search,Track,进入目标识别阶段
补充场景-通信受限,23,UAV-02,Track,RTB,剩余航时不足，自动返航补给
补充场景-通信受限,23,UAV-03,Search,Track,进入目标识别阶段
补充场景-通信受限,23,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,24,UAV-04,Search,Evade,断链区域威胁上升
补充场景-通信受限,24,UAV-05,Search,Evade,断链区域威胁上升
补充场景-通信受限,24,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,25,UAV-04,Evade,Search,规避窗口结束
补充场景-通信受限,25,UAV-05,Evade,Search,规避窗口结束
补充场景-通信受限,25,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-通信受限,27,UAV-01,Search,RTB,剩余航时不足，自动返航补给
补充场景-通信受限,30,UAV-04,Search,Track,进入目标识别阶段
补充场景-通信受限,32,UAV-03,Search,Track,进入目标识别阶段
补充场景-通信受限,33,UAV-02,RTB,Resupply,到达补给点
补充场景-通信受限,35,UAV-02,Resupply,Search,补给完成后再入队
补充场景-通信受限,35,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-通信受限,35,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-通信受限,37,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,38,UAV-01,RTB,Resupply,到达补给点
补充场景-通信受限,38,UAV-03,Search,Track,进入目标识别阶段
补充场景-通信受限,40,UAV-01,Resupply,Search,补给完成后再入队
补充场景-通信受限,40,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-通信受限,40,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,43,UAV-05,Search,Track,进入目标识别阶段
补充场景-通信受限,48,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-通信受限,48,UAV-03,Search,RTB,剩余航时不足，自动返航补给
补充场景-通信受限,50,UAV-01,Search,Track,进入目标识别阶段
补充场景-通信受限,51,UAV-02,Search,Track,进入目标识别阶段
补充场景-通信受限,51,UAV-04,Search,Track,进入目标识别阶段
补充场景-通信受限,54,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-通信受限,54,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-通信受限,54,UAV-01,Search,Track,进入目标识别阶段
补充场景-高威胁压制,1,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,2,UAV-02,Search,Track,进入目标识别阶段
补充场景-高威胁压制,4,UAV-01,Search,Track,进入目标识别阶段
补充场景-高威胁压制,5,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,5,UAV-02,Search,Track,进入目标识别阶段
补充场景-高威胁压制,6,UAV-03,Search,Track,进入目标识别阶段
补充场景-高威胁压制,7,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,7,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,7,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,9,UAV-01,Search,Track,进入目标识别阶段
补充场景-高威胁压制,9,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,11,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,12,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,12,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,12,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,13,UAV-02,Search,Track,进入目标识别阶段
补充场景-高威胁压制,13,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,14,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,14,UAV-01,Search,Track,进入目标识别阶段
补充场景-高威胁压制,14,UAV-03,Search,Track,进入目标识别阶段
补充场景-高威胁压制,16,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,20,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,20,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,20,UAV-03,Search,Track,进入目标识别阶段
补充场景-高威胁压制,21,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,21,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,23,UAV-02,Search,Track,进入目标识别阶段
补充场景-高威胁压制,24,UAV-02,Track,RTB,剩余航时不足，自动返航补给
补充场景-高威胁压制,24,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,26,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,28,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,28,UAV-03,Search,RTB,UAV-03 紧急返航
补充场景-高威胁压制,31,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,32,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,33,UAV-02,RTB,Resupply,到达补给点
补充场景-高威胁压制,35,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,35,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,35,UAV-02,Resupply,Search,补给完成后再入队
补充场景-高威胁压制,35,UAV-03,RTB,Resupply,到达补给点
补充场景-高威胁压制,37,UAV-03,Resupply,Search,补给完成后再入队
补充场景-高威胁压制,37,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,37,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,39,UAV-01,Track,RTB,剩余航时不足，自动返航补给
补充场景-高威胁压制,39,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,39,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,40,UAV-01,RTB,Lost,飞行时间耗尽
补充场景-高威胁压制,45,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,46,UAV-03,Search,Track,进入目标识别阶段
补充场景-高威胁压制,47,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,48,UAV-02,Search,Track,进入目标识别阶段
补充场景-高威胁压制,49,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,49,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,49,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,49,UAV-05,Search,Track,进入目标识别阶段
补充场景-高威胁压制,50,UAV-04,Search,Track,进入目标识别阶段
补充场景-高威胁压制,52,UAV-03,Search,Track,进入目标识别阶段
补充场景-高威胁压制,56,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,56,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,56,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-高威胁压制,56,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,1,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,2,UAV-02,Search,Track,进入目标识别阶段
补充场景-战损补给联动,4,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,6,UAV-03,Search,Track,进入目标识别阶段
补充场景-战损补给联动,8,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,8,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,8,UAV-03,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,8,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,8,UAV-02,Search,Track,进入目标识别阶段
补充场景-战损补给联动,9,UAV-03,Search,Lost,UAV-03 战损退出
补充场景-战损补给联动,9,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,10,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,11,UAV-04,Search,Track,进入目标识别阶段
补充场景-战损补给联动,14,UAV-02,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,14,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,16,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,16,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,16,UAV-04,Search,Track,进入目标识别阶段
补充场景-战损补给联动,17,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,18,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,21,UAV-05,Track,RTB,UAV-05 返航补给
补充场景-战损补给联动,21,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,21,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,23,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,24,UAV-02,Search,Track,进入目标识别阶段
补充场景-战损补给联动,25,UAV-02,Track,RTB,剩余航时不足，自动返航补给
补充场景-战损补给联动,25,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,27,UAV-01,Search,RTB,剩余航时不足，自动返航补给
补充场景-战损补给联动,29,UAV-05,RTB,Resupply,到达补给点
补充场景-战损补给联动,30,UAV-04,Search,Isolated,UAV-04 短时失联
补充场景-战损补给联动,31,UAV-05,Resupply,Search,补给完成后再入队
补充场景-战损补给联动,35,UAV-02,RTB,Lost,飞行时间耗尽
补充场景-战损补给联动,35,UAV-04,Isolated,Track,进入目标识别阶段
补充场景-战损补给联动,37,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,38,UAV-01,RTB,Resupply,到达补给点
补充场景-战损补给联动,40,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,40,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,40,UAV-01,Resupply,Search,补给完成后再入队
补充场景-战损补给联动,42,UAV-04,Search,Track,进入目标识别阶段
补充场景-战损补给联动,43,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,46,UAV-04,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,46,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,46,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,48,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,48,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,54,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,56,UAV-01,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,56,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,57,UAV-01,Search,Track,进入目标识别阶段
补充场景-战损补给联动,58,UAV-05,Search,Track,进入目标识别阶段
补充场景-战损补给联动,64,UAV-05,Track,Search,事件触发后滚动重规划
补充场景-战损补给联动,64,UAV-04,Search,Track,进入目标识别阶段
